molecule_id,model_id,docking_score,reagent_batch,assay_version,instrument_id,run_timestamp
CMPD_001,enzyme_52,-8.73,RB_92,v3,LCMS_01,2024-11-01T10:00:00Z
CMPD_002,enzyme_52,-7.45,RB_92,v3,LCMS_01,2024-11-01T10:00:00Z
CMPD_003,enzyme_52,-9.12,RB_92,v3,LCMS_01,2024-11-01T10:00:00Z
CMPD_004,enzyme_52,-6.89,RB_92,v3,LCMS_01,2024-11-01T10:00:00Z
CMPD_005,enzyme_52,-8.21,RB_92,v3,LCMS_01,2024-11-01T10:00:00Z
CMPD_006,enzyme_52,-7.67,RB_93,v3,LCMS_02,2024-11-05T14:30:00Z
CMPD_007,enzyme_52,-8.45,RB_93,v3,LCMS_02,2024-11-05T14:30:00Z
CMPD_008,enzyme_52,-7.23,RB_93,v3,LCMS_02,2024-11-05T14:30:00Z
CMPD_009,enzyme_52,-9.34,RB_93,v3,LCMS_02,2024-11-05T14:30:00Z
CMPD_010,enzyme_52,-6.78,RB_93,v3,LCMS_02,2024-11-05T14:30:00Z
CMPD_011,enzyme_52,-8.56,RB_94,v3,LCMS_01,2024-11-10T09:15:00Z
CMPD_012,enzyme_52,-7.89,RB_94,v3,LCMS_01,2024-11-10T09:15:00Z
CMPD_013,enzyme_52,-9.01,RB_94,v3,LCMS_01,2024-11-10T09:15:00Z
CMPD_014,enzyme_52,-6.45,RB_94,v3,LCMS_01,2024-11-10T09:15:00Z
CMPD_015,enzyme_52,-8.12,RB_94,v3,LCMS_01,2024-11-10T09:15:00Z
CMPD_016,enzyme_52,-7.34,RB_95,v4,LCMS_02,2024-11-15T11:20:00Z
CMPD_017,enzyme_52,-8.67,RB_95,v4,LCMS_02,2024-11-15T11:20:00Z
CMPD_018,enzyme_52,-9.23,RB_95,v4,LCMS_02,2024-11-15T11:20:00Z
CMPD_019,enzyme_52,-6.78,RB_95,v4,LCMS_02,2024-11-15T11:20:00Z
CMPD_020,enzyme_52,-7.91,RB_95,v4,LCMS_02,2024-11-15T11:20:00Z
CMPD_021,kinase_101,-7.89,RB_92,v2,LCMS_01,2024-11-02T13:00:00Z
CMPD_022,kinase_101,-8.23,RB_92,v2,LCMS_01,2024-11-02T13:00:00Z
CMPD_023,kinase_101,-6.67,RB_92,v2,LCMS_01,2024-11-02T13:00:00Z
CMPD_024,kinase_101,-9.12,RB_92,v2,LCMS_01,2024-11-02T13:00:00Z
CMPD_025,kinase_101,-7.45,RB_92,v2,LCMS_01,2024-11-02T13:00:00Z
CMPD_026,kinase_101,-8.56,RB_93,v2,LCMS_02,2024-11-08T15:45:00Z
CMPD_027,kinase_101,-7.78,RB_93,v2,LCMS_02,2024-11-08T15:45:00Z
CMPD_028,kinase_101,-9.34,RB_93,v2,LCMS_02,2024-11-08T15:45:00Z
CMPD_029,kinase_101,-6.89,RB_93,v2,LCMS_02,2024-11-08T15:45:00Z
CMPD_030,kinase_101,-8.12,RB_93,v2,LCMS_02,2024-11-08T15:45:00Z
CMPD_031,protease_42,-8.45,RB_92,v1,LCMS_01,2024-11-03T09:30:00Z
CMPD_032,protease_42,-7.23,RB_92,v1,LCMS_01,2024-11-03T09:30:00Z
CMPD_033,protease_42,-9.67,RB_92,v1,LCMS_01,2024-11-03T09:30:00Z
CMPD_034,protease_42,-6.34,RB_92,v1,LCMS_01,2024-11-03T09:30:00Z
CMPD_035,protease_42,-8.78,RB_92,v1,LCMS_01,2024-11-03T09:30:00Z
CMPD_036,protease_42,-7.56,RB_94,v1,LCMS_02,2024-11-12T10:00:00Z
CMPD_037,protease_42,-8.89,RB_94,v1,LCMS_02,2024-11-12T10:00:00Z
CMPD_038,protease_42,-9.12,RB_94,v1,LCMS_02,2024-11-12T10:00:00Z
CMPD_039,protease_42,-6.67,RB_94,v1,LCMS_02,2024-11-12T10:00:00Z
CMPD_040,protease_42,-7.91,RB_94,v1,LCMS_02,2024-11-12T10:00:00Z








